filename,algorithm,score
pa_10_19,RWordle-L,0.726
pa_10_19,SCALE,0.651
pa_10_19,VPSC,0.753
pa_10_1,GTREE,0.628
pa_10_1,PFS,0.643
pa_10_1,PFS',0.685
pa_10_1,PRISM,0.635
pa_10_1,RWordle-L,0.723
pa_10_1,SCALE,0.585
pa_10_1,VPSC,0.757
pa_10_20,GTREE,0.603
pa_10_20,PFS,0.652
pa_10_20,PFS',0.714
pa_10_20,PRISM,0.621
pa_10_20,RWordle-L,0.726
pa_10_20,SCALE,0.651
pa_10_20,VPSC,0.753
pa_10_21,GTREE,0.68
pa_10_21,PFS,0.76
pa_10_21,PFS',0.776
pa_10_21,PRISM,0.669
pa_10_21,RWordle-L,0.739
pa_10_21,SCALE,0.734
pa_10_21,VPSC,0.78
pa_10_22,GTREE,0.68
pa_10_22,PFS,0.76
pa_10_22,PFS',0.776
pa_10_22,PRISM,0.669
pa_10_22,RWordle-L,0.739
pa_10_22,SCALE,0.734
pa_10_22,VPSC,0.78
pa_10_23,GTREE,0.615
pa_10_23,PFS,0.612
pa_10_23,PFS',0.692
pa_10_23,PRISM,0.658
pa_10_23,RWordle-L,0.732
pa_10_23,SCALE,0.551
pa_10_23,VPSC,0.741
pa_10_24,GTREE,0.603
pa_10_24,PFS,0.652
pa_10_24,PFS',0.714
pa_10_24,PRISM,0.621
pa_10_24,RWordle-L,0.726
pa_10_24,SCALE,0.651
pa_10_24,VPSC,0.753
pa_10_25,GTREE,0.68
pa_10_25,PFS,0.76
pa_10_25,PFS',0.776
pa_10_25,PRISM,0.669
pa_10_25,RWordle-L,0.739
pa_10_25,SCALE,0.734
pa_10_25,VPSC,0.78
pa_10_26,GTREE,0.68
pa_10_26,PFS,0.76
pa_10_26,PFS',0.776
pa_10_26,PRISM,0.669
pa_10_26,RWordle-L,0.739
pa_10_26,SCALE,0.734
pa_10_26,VPSC,0.78
pa_10_27,GTREE,0.68
pa_10_27,PFS,0.76
pa_10_27,PFS',0.776
pa_10_27,PRISM,0.669
pa_10_27,RWordle-L,0.739
pa_10_27,SCALE,0.734
